Medicamento,Departamento,Mes,Ventas
"Fenobarbital 0,4% solución oral",Amazonas,Ene,21
"Fenobarbital 0,4% solución oral",Amazonas,Feb,NA
"Fenobarbital 0,4% solución oral",Amazonas,Mar,NA
"Fenobarbital 0,4% solución oral",Amazonas,Abr,NA
"Fenobarbital 0,4% solución oral",Amazonas,May,NA
"Fenobarbital 0,4% solución oral",Amazonas,Jun,NA
"Fenobarbital 0,4% solución oral",Amazonas,Jul,NA
"Fenobarbital 0,4% solución oral",Amazonas,Ago,NA
"Fenobarbital 0,4% solución oral",Amazonas,Sep,NA
"Fenobarbital 0,4% solución oral",Amazonas,Oct,NA
"Fenobarbital 0,4% solución oral",Amazonas,Nov,NA
"Fenobarbital 0,4% solución oral",Amazonas,Dic,NA
"Fenobarbital 0,4% solución oral",Antioquia,Ene,2873
"Fenobarbital 0,4% solución oral",Antioquia,Feb,98
"Fenobarbital 0,4% solución oral",Antioquia,Mar,82
"Fenobarbital 0,4% solución oral",Antioquia,Abr,158
"Fenobarbital 0,4% solución oral",Antioquia,May,106
"Fenobarbital 0,4% solución oral",Antioquia,Jun,99
"Fenobarbital 0,4% solución oral",Antioquia,Jul,91
"Fenobarbital 0,4% solución oral",Antioquia,Ago,128
"Fenobarbital 0,4% solución oral",Antioquia,Sep,NA
"Fenobarbital 0,4% solución oral",Antioquia,Oct,96
"Fenobarbital 0,4% solución oral",Antioquia,Nov,NA
"Fenobarbital 0,4% solución oral",Antioquia,Dic,NA
"Fenobarbital 0,4% solución oral",Arauca,Ene,7
"Fenobarbital 0,4% solución oral",Arauca,Feb,22
"Fenobarbital 0,4% solución oral",Arauca,Mar,1
"Fenobarbital 0,4% solución oral",Arauca,Abr,8
"Fenobarbital 0,4% solución oral",Arauca,May,NA
"Fenobarbital 0,4% solución oral",Arauca,Jun,6
"Fenobarbital 0,4% solución oral",Arauca,Jul,7
"Fenobarbital 0,4% solución oral",Arauca,Ago,18
"Fenobarbital 0,4% solución oral",Arauca,Sep,NA
"Fenobarbital 0,4% solución oral",Arauca,Oct,NA
"Fenobarbital 0,4% solución oral",Arauca,Nov,NA
"Fenobarbital 0,4% solución oral",Arauca,Dic,NA
"Fenobarbital 0,4% solución oral",Atlántico,Ene,17
"Fenobarbital 0,4% solución oral",Atlántico,Feb,47
"Fenobarbital 0,4% solución oral",Atlántico,Mar,37
"Fenobarbital 0,4% solución oral",Atlántico,Abr,75
"Fenobarbital 0,4% solución oral",Atlántico,May,17
"Fenobarbital 0,4% solución oral",Atlántico,Jun,NA
"Fenobarbital 0,4% solución oral",Atlántico,Jul,61
"Fenobarbital 0,4% solución oral",Atlántico,Ago,19
"Fenobarbital 0,4% solución oral",Atlántico,Sep,NA
"Fenobarbital 0,4% solución oral",Atlántico,Oct,NA
"Fenobarbital 0,4% solución oral",Atlántico,Nov,NA
"Fenobarbital 0,4% solución oral",Atlántico,Dic,NA
"Fenobarbital 0,4% solución oral",Bolívar,Ene,NA
"Fenobarbital 0,4% solución oral",Bolívar,Feb,NA
"Fenobarbital 0,4% solución oral",Bolívar,Mar,NA
"Fenobarbital 0,4% solución oral",Bolívar,Abr,0
"Fenobarbital 0,4% solución oral",Bolívar,May,0
"Fenobarbital 0,4% solución oral",Bolívar,Jun,3
"Fenobarbital 0,4% solución oral",Bolívar,Jul,2
"Fenobarbital 0,4% solución oral",Bolívar,Ago,4
"Fenobarbital 0,4% solución oral",Bolívar,Sep,NA
"Fenobarbital 0,4% solución oral",Bolívar,Oct,NA
"Fenobarbital 0,4% solución oral",Bolívar,Nov,NA
"Fenobarbital 0,4% solución oral",Bolívar,Dic,NA
"Fenobarbital 0,4% solución oral",Boyacá,Ene,32
"Fenobarbital 0,4% solución oral",Boyacá,Feb,9
"Fenobarbital 0,4% solución oral",Boyacá,Mar,40
"Fenobarbital 0,4% solución oral",Boyacá,Abr,NA
"Fenobarbital 0,4% solución oral",Boyacá,May,NA
"Fenobarbital 0,4% solución oral",Boyacá,Jun,3
"Fenobarbital 0,4% solución oral",Boyacá,Jul,65
"Fenobarbital 0,4% solución oral",Boyacá,Ago,0
